title_id,person_id,category,job
tt0000417,nm0617588,actor,
tt0000417,nm0324073,composer,
tt0000417,nm4491570,composer,
tt0009018,nm0701012,actress,
tt0009018,nm0114253,actor,
tt0009611,nm0701012,actress,
tt0009611,nm0074788,actor,
tt0009611,nm0934232,actor,
tt0011541,nm0781623,actress,
tt0011541,nm0731247,actor,
tt0012349,nm0088471,actor,
tt0012349,nm0701012,actress,
tt0012349,nm0047800,actress,
tt0012349,nm0074788,actor,
tt0012364,nm0005748,cinematographer,
tt0012364,nm0782943,actress,
tt0012364,nm0917912,actor,
tt0013442,nm0775659,actress,
tt0015324,nm0444172,actor,
tt0015324,nm0115669,writer,story
tt0016332,nm0245536,actress,
tt0016332,nm0115669,writer,"screen version"
tt0016332,nm0369841,writer,"screen version"
tt0016641,nm0908753,writer,"novel 'Ben-Hur, 1880' by"
tt0016641,nm0003895,actor,
tt0016641,nm0629243,director,
tt0016641,nm0102643,director,
tt0018217,nm0006291,composer,
tt0018217,nm0515104,actor,
tt0018217,nm0493491,actor,
tt0018455,nm0310980,actress,
tt0018455,nm0003638,director,
tt0018455,nm0385012,writer,titles
tt0018455,nm0129721,writer,titles
tt0018528,nm0151606,actor,
tt0018528,nm0449908,actor,
tt0018528,nm0211346,actor,
tt0019254,nm0776914,actor,
tt0019254,nm0773138,composer,
tt0019421,nm0868458,actor,
tt0019585,nm0002301,composer,
tt0019585,nm0361319,actor,
tt0019760,nm0895048,director,
tt0019760,nm0006219,composer,
tt0019777,nm0000050,actor,
tt0020640,nm0000050,actor,
tt0020640,nm0373511,director,
tt0020640,nm0442151,writer,"based on the musical play by"
tt0021577,nm0198557,writer,scenario
tt0021814,nm0151377,actress,
tt0021814,nm0543115,actor,
tt0021814,nm0296859,actor,
tt0022835,nm0394244,actress,
tt0022835,nm0387556,actress,
tt0022835,nm0372698,writer,"screen play"
tt0022835,nm0829044,writer,"based on the novel by"
tt0022913,nm0531269,writer,
tt0022913,nm0404885,actress,
tt0022913,nm0090213,writer,"additional dialogue"
tt0023027,nm0000050,actor,
tt0023027,nm0572851,director,
tt0023027,nm0436095,writer,by
tt0023245,nm0836181,cinematographer,
tt0023245,nm0543115,actor,
tt0023245,nm0701233,writer,"from a story by"
tt0023458,nm0335517,actor,
tt0023458,nm0000017,actress,
tt0023458,nm0938923,actress,
tt0023458,nm0299154,writer,"screen play"
tt0023649,nm0922170,actor,
tt0023649,nm0541675,actress,
tt0023649,nm0494257,writer,"based on a book by"
tt0023969,nm0789049,cinematographer,
tt0023969,nm0000050,actor,
tt0023969,nm0790654,writer,"additional dialogue"
tt0024184,nm0001647,actor,
tt0024481,nm0309567,writer,
tt0024803,nm0202120,actor,
tt0024803,nm0006144,composer,
tt0024803,nm0442100,cinematographer,
tt0024844,nm0202120,actor,
tt0024844,nm0546621,actor,
tt0024844,nm0006144,composer,
tt0024852,nm0179290,cinematographer,
tt0024852,nm0491048,actor,
tt0024852,nm0377766,actress,
tt0024852,nm0736778,director,
tt0024852,nm0152156,writer,libretto
tt0025586,nm0000012,actress,
tt0025586,nm0170923,writer,dialogue
tt0025878,nm0002197,composer,
tt0025878,nm0001635,actor,
tt0025878,nm0671738,actor,
tt0025913,nm0386944,self,
tt0025913,nm0934819,composer,
tt0026029,nm0878604,editor,
tt0026029,nm0140914,actress,
tt0026029,nm0071657,writer,adaptation
tt0026138,nm0403398,writer,"adapted by"
tt0026174,nm0001224,actor,
tt0026174,nm0041172,actor,
tt0026174,nm0005803,cinematographer,
tt0026778,nm0000050,actor,
tt0026778,nm0332539,director,
tt0026778,nm0442151,writer,"screen play"
tt0026778,nm0753452,writer,"screen play"
tt0026778,nm0570130,writer,"from a story by"
tt0027545,nm0390192,actress,
tt0027545,nm0006388,writer,suggestion
tt0027652,nm0796662,actress,
tt0027652,nm0000075,actor,
tt0027652,nm0000581,producer,producer
tt0027996,nm0000011,actor,
tt0027996,nm0000795,actress,
tt0027996,nm0822034,actor,
tt0027996,nm0001008,director,
tt0027996,nm0728307,writer,"screen play"
tt0028231,nm0720904,writer,continuity
tt0028231,nm0140914,actress,
tt0028231,nm0000048,actor,
tt0028231,nm0071657,writer,screenplay
tt0028333,nm0778818,writer,"screen play"
tt0028333,nm0391750,writer,"contributing writer"
tt0028346,nm0185924,actor,
tt0028346,nm0587178,actress,
tt0028346,nm0388554,writer,screenplay
tt0028346,nm0386359,producer,producer
tt0028683,nm0933133,writer,
tt0028773,nm0796662,actress,
tt0028773,nm0566948,actor,
tt0028773,nm0375484,writer,"screen play"
tt0028773,nm0326418,producer,producer
tt0029146,nm0771584,actor,
tt0029146,nm0390192,actress,
tt0029146,nm0430763,writer,"source material ""Zola and His Time"""
tt0029192,nm0495259,writer,play
tt0029284,nm0002050,actress,
tt0029322,nm0366454,writer,"contributing writer"
tt0029322,nm0372942,writer,"screen play"
tt0029322,nm0834077,writer,"suggested by a story by"
tt0029322,nm0006388,writer,"contributing writer"
tt0029322,nm0308604,writer,"contributing writer"
tt0029453,nm0478373,writer,novel
tt0029453,nm0780020,composer,
tt0029747,nm0528800,actress,
tt0029747,nm0278006,actor,
tt0029747,nm0012148,writer,"screen play"
tt0029811,nm0549385,actor,
tt0029811,nm0339326,writer,"screen play"
tt0029811,nm0035613,writer,"screen play"
tt0029843,nm0000014,actress,
tt0029843,nm0001647,actor,
tt0029843,nm0445033,director,
tt0029870,nm0002285,actor,
tt0029870,nm0792130,actress,
tt0029870,nm0240417,writer,"screen play"
tt0031210,nm0000012,actress,
tt0031225,nm0664990,producer,producer
tt0031225,nm0000017,actress,
tt0031225,nm0000071,actor,
tt0031225,nm0616730,writer,"screen play"
tt0031225,nm0062738,writer,"suggested by novel ""Destry Rides Again"""
tt0031381,nm0308177,writer,"contributing writer"
tt0031381,nm0000022,actor,
tt0031381,nm0397608,writer,screenplay
tt0031398,nm0572142,actor,
tt0031398,nm0828419,director,
tt0031398,nm0347451,writer,"screen play"
tt0031398,nm0531269,writer,story
tt0031448,nm0057412,actress,
tt0031448,nm0236279,writer,"novel ""The Hound of the Baskervilles"""
tt0031505,nm0238898,writer,novel
tt0031505,nm0001452,actor,
tt0031505,nm0319148,writer,"screen play"
tt0031505,nm0365661,writer,"screen play"
tt0031580,nm0485943,director,
tt0031580,nm0782682,director,
tt0031580,nm0274923,writer,"screen play"
tt0031580,nm0122364,writer,"based on the novel by"
tt0032145,nm0643353,actress,
tt0032145,nm0531269,writer,"screen play"
tt0032145,nm0372942,writer,"screen play"
tt0032943,nm0373511,writer,"contributor to treatment"
tt0032943,nm0002093,actress,
tt0032943,nm0646829,actress,
tt0032943,nm0613848,writer,"screen play"
tt0032943,nm0000807,writer,novel
tt0033028,nm0001224,actor,
tt0033028,nm0550782,actress,
tt0033028,nm0001647,actor,
tt0033149,nm0526946,actress,
tt0033149,nm0907003,writer,"screen play"
tt0033149,nm0531335,writer,"screen play"
tt0033373,nm0000697,writer,"screen play"
tt0033373,nm0326418,producer,producer
tt0033627,nm0003836,director,
tt0033627,nm0010063,writer,scenario
tt0033836,nm0326418,producer,producer
tt0033836,nm0000012,actress,
tt0033836,nm0942863,actress,
tt0033836,nm0462111,writer,"additional scenes and dialogue"
tt0033922,nm0580882,actor,
tt0033922,nm0713270,actor,
tt0033922,nm0469915,writer,"story and screenplay"
tt0034012,nm0583301,editor,"film editor"
tt0034012,nm0002050,actress,
tt0034012,nm0828419,director,
tt0034012,nm0753452,writer,"screen play"
tt0034881,nm0726542,writer,dialogue
tt0034881,nm0000043,actress,
tt0034881,nm0001333,actress,
tt0034881,nm0810158,writer,"based upon a story: The Passionate Witch"
tt0035160,nm0129278,actress,
tt0035160,nm0188096,actress,
tt0035160,nm0899581,director,
tt0035160,nm0211459,writer,"scenario & dialogue"
tt0035169,nm0001055,actress,
tt0035169,nm0566948,actor,
tt0035238,nm0291548,producer,producer
tt0035238,nm0002093,actress,
tt0035238,nm0676688,actress,
tt0035238,nm0503777,director,
tt0035238,nm0921995,writer,"screen play"
tt0035238,nm0385264,writer,"based upon the novel by"
tt0035279,nm0472603,actor,
tt0035279,nm0365661,writer,"original screen play"
tt0035432,nm0005870,cinematographer,"director of photography"
tt0035432,nm0000043,actress,
tt0035432,nm0187284,actor,
tt0035432,nm0878338,director,
tt0035446,nm0817929,editor,"film editor"
tt0035446,nm0107795,actor,
tt0035446,nm0501872,writer,"original story"
tt0035446,nm0562372,writer,screenplay
tt0035446,nm0006128,composer,
tt0035575,nm0002146,cinematographer,"director of photography"
tt0035575,nm0258493,writer,"contributor to screenplay"
tt0036027,nm0057121,actress,
tt0036154,nm0352413,actor,
tt0036172,nm0000795,actress,
tt0036172,nm0566948,actor,
tt0036172,nm0828419,director,
tt0036323,nm0619798,actor,
tt0036323,nm0118227,writer,
tt0036342,nm0136994,actor,
tt0036342,nm0928642,writer,screenplay
tt0036342,nm0072639,writer,screenplay
tt0036342,nm0720904,writer,screenplay
tt0036377,nm0264278,actor,
tt0036377,nm0674169,producer,producer
tt0036868,nm0942863,actress,
tt0036868,nm0792845,writer,"screen play"
tt0036868,nm0326418,producer,producer
tt0036868,nm0006087,composer,
tt0036910,nm0000636,writer,by
tt0036931,nm0732648,cinematographer,"director of photography"
tt0036931,nm0522871,writer,screenplay
tt0036931,nm0540862,producer,producer
tt0036969,nm0467396,writer,
tt0036969,nm0307750,actress,
tt0036969,nm0829038,director,
tt0037059,nm0000023,actress,
tt0037059,nm0107082,actress,
tt0037059,nm0106505,writer,"screen play"
tt0037059,nm0072639,writer,"based on the novel by"
tt0037059,nm0373511,writer,
tt0037077,nm0002545,director,
tt0037077,nm0795640,composer,
tt0037077,nm0005870,cinematographer,"director of photography"
tt0037101,nm0794297,actress,
tt0037101,nm0151452,writer,novel
tt0037382,nm0001328,director,
tt0037382,nm0299154,writer,"screen play"
tt0037558,nm0002145,actor,
tt0037558,nm0369743,writer,
tt0037595,nm0002113,actor,
tt0037595,nm0306786,actor,
tt0037595,nm0324013,director,
tt0037595,nm0173532,writer,screenplay
tt0037865,nm0005872,cinematographer,"director of photography"
tt0037865,nm0664273,actor,
tt0037865,nm0002022,actress,
tt0037865,nm0821472,director,
tt0038160,nm0527331,writer,screenplay
tt0038160,nm0001656,actress,
tt0038348,nm0406655,editor,
tt0038348,nm0196816,actress,
tt0038348,nm0314590,actress,
tt0038348,nm0167496,director,
tt0038348,nm0207305,writer,story
tt0038348,nm0005952,composer,
tt0038355,nm0896015,actress,
tt0038355,nm0001328,director,
tt0038355,nm0299154,writer,"screen play"
tt0038733,nm0432613,production_designer,
tt0038733,nm0003836,director,
tt0038733,nm0336434,composer,
tt0038762,nm0006203,composer,
tt0038762,nm0001514,actor,
tt0038762,nm0588003,writer,"screen play"
tt0038762,nm0482193,writer,"based on a book by"
tt0038913,nm0810676,actor,
tt0038913,nm0650976,actor,
tt0038913,nm0290000,writer,story
tt0038913,nm0953790,writer,story
tt0038969,nm0721468,writer,screenplay
tt0038975,nm0808949,actor,
tt0038975,nm0802563,director,
tt0038975,nm0227571,writer,screenplay
tt0039190,nm0941253,actor,
tt0039190,nm0467396,director,
tt0039190,nm0792845,writer,screenplay
tt0039190,nm0000697,writer,
tt0039302,nm0202681,director,
tt0039302,nm0907003,producer,producer
tt0039404,nm0329993,actress,
tt0039404,nm0780799,writer,story
tt0039420,nm0485702,cinematographer,"director of photography"
tt0039420,nm0001322,actor,
tt0039420,nm0078923,actress,
tt0039420,nm0000581,director,
tt0039420,nm0225283,writer,"from the novel by"
tt0039420,nm0463334,producer,producer
tt0039536,nm0463334,producer,producer
tt0039536,nm0001514,actor,
tt0039536,nm0336531,actress,
tt0039628,nm0516876,actor,
tt0039628,nm0674169,producer,producer
tt0039628,nm0006203,composer,
tt0039628,nm0013914,cinematographer,"director of photography"
tt0039661,nm0336531,actress,
tt0039661,nm0332539,director,
tt0039661,nm0340343,writer,novel
tt0039677,nm0431922,actor,
tt0039677,nm0715346,director,
tt0039677,nm0005944,composer,
tt0039808,nm0001414,actor,
tt0039808,nm0572851,director,
tt0039808,nm0293388,writer,"screen play"
tt0040064,nm0000078,actor,
tt0040064,nm0000955,actor,
tt0040064,nm0821716,writer,screenplay
tt0040160,nm0001537,actor,
tt0040160,nm0001452,actor,
tt0040160,nm0268513,director,
tt0040160,nm0490206,writer,screenplay
tt0040160,nm0325785,writer,"contributor to screenplay construction and dialogue"
tt0040308,nm0000023,actress,
tt0040308,nm0329304,writer,screenplay
tt0040338,nm0715346,director,
tt0040338,nm0832593,writer,"additional dialogue"
tt0040367,nm0000795,actress,
tt0040367,nm0000017,actress,
tt0040367,nm0106764,writer,screenplay
tt0040506,nm0027173,writer,"based on the play by"
tt0040506,nm0907003,producer,producer
tt0040525,nm0000028,actress,
tt0040525,nm0806041,actor,
tt0040525,nm0006257,composer,
tt0040536,nm0959003,writer,novella
tt0040613,nm0002146,cinematographer,"director of photography"
tt0040613,nm0693281,director,
tt0040613,nm0363316,composer,
tt0040636,nm0280178,actor,
tt0040636,nm0003318,actor,
tt0040662,nm0838066,actor,
tt0040662,nm0000180,director,
tt0040662,nm0371552,writer,"screen play"
tt0040724,nm0000078,actor,
tt0040724,nm0000974,actor,
tt0040724,nm0001328,director,
tt0040876,nm0001336,actor,
tt0040876,nm0796645,director,
tt0040897,nm0005792,cinematographer,"director of photography"
tt0040979,nm0463441,editor,
tt0040979,nm0000041,director,
tt0040979,nm0879939,writer,"written by"
tt0040979,nm0609404,producer,producer
tt0041090,nm0000075,actor,
tt0041154,nm0040916,cinematographer,
tt0041154,nm0753479,actor,
tt0041154,nm0361697,actress,
tt0041154,nm0875366,actress,
tt0041154,nm0654868,director,
tt0041163,nm0388303,actor,
tt0041163,nm0006125,composer,
tt0041163,nm0900944,cinematographer,"director of photography"
tt0041268,nm0573640,actor,
tt0041268,nm0802563,director,
tt0041452,nm0869860,cinematographer,"director of photography"
tt0041452,nm0394244,actress,
tt0041452,nm0416556,writer,"suggested by the novel ""Washington Square"" by"
tt0041452,nm0178716,composer,
tt0041587,nm0815433,actress,
tt0041587,nm0797012,producer,producer
tt0041719,nm0143018,actress,
tt0041719,nm0005952,composer,
tt0041719,nm0370865,cinematographer,
tt0041719,nm0195618,production_designer,
tt0041841,nm0000078,actor,
tt0041841,nm0245385,director,
tt0041841,nm0113689,writer,screenplay
tt0041841,nm0335455,writer,screenplay
tt0041859,nm0343481,editor,
tt0041859,nm0869429,actress,
tt0041931,nm0899887,actor,
tt0041931,nm0744023,director,
tt0041996,nm0005872,cinematographer,"director of photography"
tt0041996,nm0493446,writer,screenplay
tt0042004,nm0801026,writer,novel
tt0042208,nm0926235,actor,
tt0042332,nm0672093,writer,story
tt0042332,nm0041598,actress,
tt0042332,nm0527217,director,
tt0042332,nm0674518,writer,"from the original classic by"
tt0042332,nm0670328,writer,story
tt0042530,nm0874308,writer,screenplay
tt0042788,nm0936727,actress,
tt0042788,nm0252100,writer,screenplay
tt0042788,nm0449946,writer,novel
tt0042804,nm0017274,writer,
tt0042804,nm0488601,writer,"dialogue collaborator"
tt0042832,nm0000895,actress,
tt0042832,nm0001588,actor,
tt0042832,nm0614645,writer,screenplay
tt0042994,nm0000017,actress,
tt0042994,nm0865262,actor,
tt0042994,nm0421862,writer,"based on the novel ""Man Running"" by"
tt0043014,nm0000034,actor,
tt0043014,nm0002233,actor,
tt0043014,nm0647970,actress,
tt0043014,nm0000697,director,
tt0043014,nm0551261,writer,"written by"
tt0043014,nm0005870,cinematographer,"director of photography"
tt0043067,nm0829044,writer,story
tt0043137,nm0000071,actor,
tt0043137,nm0573640,actor,
tt0043137,nm0542649,director,
tt0043137,nm0482193,writer,story
tt0043208,nm0630393,actor,
tt0043208,nm0292433,actor,
tt0043208,nm0562474,actor,
tt0043208,nm0445287,actor,
tt0043379,nm0006067,composer,
tt0043379,nm0324578,writer,screenplay
tt0043809,nm0953790,writer,"novel ""Totò il buono"""
tt0043809,nm0147599,writer,screenplay
tt0043879,nm0526946,actress,
tt0043879,nm0000955,actor,
tt0043879,nm0447405,actor,
tt0043949,nm0797197,writer,"based on the novel by"
tt0043949,nm0503777,director,
tt0043949,nm0542649,director,
tt0043949,nm0397022,writer,"screen play"
tt0043972,nm0842677,actress,
tt0043972,nm0460874,actor,
tt0043972,nm0568374,producer,producer
tt0043972,nm0764878,composer,
tt0044008,nm0424345,actor,
tt0044079,nm0372942,writer,
tt0044079,nm0151452,writer,"screen play"
tt0044081,nm0000008,actor,
tt0044413,nm0000071,actor,
tt0044413,nm0001369,actor,
tt0044413,nm0011105,actress,
tt0044413,nm0542649,director,
tt0044741,nm0609404,producer,producer
tt0044741,nm0437520,actor,
tt0044741,nm0000041,director,
tt0044837,nm0001954,actress,
tt0044876,nm0001284,actor,
tt0044876,nm0049608,producer,producer
tt0044953,nm0000071,actor,
tt0044953,nm0752813,actor,
tt0044953,nm0576127,actor,
tt0045112,nm0003226,director,
tt0045112,nm0756905,composer,
tt0045591,nm0444476,actor,
tt0045591,nm0005668,cinematographer,"director of photography"
tt0045591,nm0606206,editor,
tt0045709,nm0000305,actor,
tt0045758,nm0005196,actor,
tt0045758,nm0170039,actor,
tt0045758,nm0755274,writer,"written by"
tt0045848,nm0000005,director,
tt0045877,nm0848251,actor,
tt0045877,nm0869064,actor,
tt0045877,nm0537784,writer,
tt0045891,nm0002107,actress,
tt0045891,nm0915536,actor,
tt0045891,nm0624535,director,
tt0045897,nm0000879,actress,
tt0045897,nm0000731,actor,
tt0045897,nm0033780,writer,"screen play"
tt0045897,nm0006323,composer,
tt0045920,nm0750640,actress,
tt0045920,nm0236866,actor,
tt0045920,nm0261400,writer,screenplay
tt0045963,nm0191901,producer,producer
tt0045963,nm0337113,actress,
tt0045963,nm0796645,director,
tt0045963,nm0000636,writer,"after: ""The Taming of the Shrew"""
tt0046085,nm0000022,actor,
tt0046085,nm0000038,actress,
tt0046085,nm0801786,actor,
tt0046085,nm0956547,producer,producer
tt0046085,nm0005892,cinematographer,"director of photography"
tt0046126,nm0795289,actor,
tt0046303,nm0000795,actress,
tt0046303,nm0828419,director,
tt0046438,nm0383261,actress,
tt0046438,nm0361697,actress,
tt0046438,nm0654868,director,
tt0046438,nm0756907,composer,
tt0046438,nm0040916,cinematographer,
tt0046451,nm0599044,cinematographer,
tt0046451,nm0065442,director,
tt0046451,nm0341071,writer,adaptation
tt0046521,nm0814773,actor,
tt0046521,nm0000065,composer,
tt0046672,nm0000018,actor,
tt0046672,nm0510134,actor,
tt0046672,nm0000048,actor,
tt0046672,nm0894523,writer,novel
tt0046807,nm0829359,actress,
tt0046807,nm0503585,writer,screenplay
tt0046816,nm0001207,actor,
tt0046816,nm0534045,actor,
tt0046816,nm0006452,producer,producer
tt0046911,nm0092267,writer,"novel ""Celle qui n'était plus"""
tt0047030,nm0000071,actor,
tt0047030,nm0604702,actor,
tt0047030,nm0236866,actor,
tt0047296,nm0077086,composer,
tt0047296,nm0002011,actor,
tt0047296,nm0001415,director,
tt0047296,nm0802563,writer,
tt0047296,nm0818545,producer,producer
tt0047396,nm0000071,actor,
tt0047396,nm0000038,actress,
tt0047396,nm0728812,actress,
tt0047422,nm0006203,composer,
tt0047422,nm0720568,actor,
tt0047422,nm0624535,director,
tt0047444,nm0408348,director,
tt0047444,nm0948982,writer,novel
tt0047444,nm0392950,producer,producer
tt0047445,nm0003226,director,
tt0047522,nm0000023,actress,
tt0047522,nm0366454,writer,"screen play by"
tt0047522,nm0308604,writer,"based on the 1937 screen play by"
tt0047528,nm0000065,composer,
tt0047528,nm0000063,actor,
tt0047528,nm0000865,actor,
tt0047528,nm0209569,producer,producer
tt0047542,nm0164690,cinematographer,"director of cinematography"
tt0047573,nm0926235,actor,
tt0047573,nm0919730,actress,
tt0047577,nm0607504,actor,
tt0047577,nm0168759,writer,screenplay
tt0047577,nm0020041,producer,producer
tt0047647,nm0006087,composer,
tt0047647,nm0000011,actor,
tt0047647,nm0003110,actor,
tt0047647,nm0916139,writer,screenplay
tt0047885,nm0004282,actress,
tt0047885,nm0129894,actor,
tt0047885,nm0371135,actress,
tt0047885,nm0402805,writer,"novel ""The Blackboard Jungle"""
tt0048055,nm0000071,actor,
tt0048055,nm0000974,actor,
tt0048055,nm0542649,director,
tt0048055,nm0200125,cinematographer,
tt0048280,nm0527217,director,
tt0048347,nm0662223,actress,
tt0048347,nm0628305,writer,screenplay
tt0048347,nm0372942,writer,
tt0048356,nm0000308,actor,
tt0048356,nm0086198,actress,
tt0048356,nm0542720,director,
tt0048356,nm0154665,writer,story
tt0048473,nm0052343,actor,
tt0048473,nm0006249,director,
tt0048473,nm0051808,writer,novel
tt0048473,nm0593970,cinematographer,
tt0048545,nm0827856,writer,"screen play"
tt0048579,nm0944779,actress,
tt0048579,nm0948982,writer,novel
tt0048641,nm0414965,actress,
tt0048641,nm0000005,director,
tt0048673,nm0000180,director,
tt0048673,nm0491306,writer,"based on the original play ""The Time of the Cuckoo"""
tt0048673,nm0519838,producer,producer
tt0048947,nm0491306,writer,screenplay
tt0048947,nm0093397,writer,"play adaptation"
tt0048956,nm0006249,director,
tt0048956,nm5581192,writer,"assistant screenplay writer"
tt0048980,nm0483740,actor,
tt0048980,nm0503709,composer,
tt0048980,nm0005895,cinematographer,
tt0049096,nm0001414,actor,
tt0049189,nm0029203,production_designer,
tt0049189,nm0000003,actress,
tt0049189,nm0548355,actress,
tt0049189,nm0671862,director,
tt0049223,nm0928208,director,
tt0049223,nm0401738,writer,"screen play"
tt0049223,nm0000636,writer,"play ""The Tempest"""
tt0049233,nm0067651,editor,"film editor"
tt0049233,nm0000011,actor,
tt0049233,nm0922143,writer,book
tt0049261,nm0006323,composer,
tt0049261,nm0001369,actor,
tt0049261,nm0828419,director,
tt0049261,nm0347451,writer,"screen play"
tt0049261,nm0595573,writer,"screen play"
tt0049291,nm0733476,director,
