episode_title_id,show_title_id,season_number,episode_number
tt0066931,tt1466074,1,3
tt0066933,tt1466074,1,0
tt0068395,tt1466074,1,7
tt0068396,tt1466074,2,4
tt0068398,tt1466074,2,1
tt0068400,tt1466074,1,6
tt0069901,tt1466074,3,2
tt0069902,tt1466074,3,3
tt0069905,tt1466074,3,1
tt0069906,tt1466074,2,7
tt0071345,tt1466074,3,8
tt0071347,tt1466074,3,6
tt0071348,tt1466074,4,2
tt0071759,tt0071007,1,0
tt0072203,tt0072567,1,0
tt0072801,tt1466074,4,6
tt0072802,tt1466074,4,1
tt0072803,tt1466074,5,1
tt0072806,tt1466074,4,4
tt0074327,tt1466074,5,4
tt0074328,tt1466074,6,1
tt0074331,tt1466074,6,2
tt0075865,tt1466074,7,2
tt0076450,tt0075529,1,0
tt0077353,tt1466074,7,3
tt0079272,tt0078622,1,0
tt0094030,tt0092455,1,1
tt0094982,tt0092337,1,1
tt0094987,tt0092337,1,5
tt0094988,tt0092337,1,6
tt0094989,tt0092337,1,7
tt0097083,tt1466074,8,1
tt0097084,tt1466074,8,4
tt0097087,tt1466074,8,2
tt0097091,tt1466074,9,5
tt0099289,tt1466074,10,1
tt0103986,tt1466074,11,3
tt0106437,tt0101050,4,1
tt0110014,tt0094525,6,1
tt0112705,tt1466074,13,1
tt0144141,tt1466074,13,3
tt0162905,tt0092455,5,18
tt0166105,tt0101050,1,0
tt0182225,tt0094525,6,2
tt0182352,tt0094525,4,3
tt0182361,tt0094525,2,1
tt0234794,tt0118480,1,1
tt0235681,tt0094525,7,2
tt0244952,tt0094525,3,10
tt0274914,tt0239195,1,14
tt0276087,tt0214341,3,3
tt0276089,tt0214341,4,17
tt0276115,tt0094525,8,1
tt0278634,tt0094525,8,2
tt0293812,tt0310455,1,1
tt0306666,tt1466074,13,5
tt0332663,tt0320038,1,1
tt0363108,tt0239195,5,15
tt0392952,tt0094525,9,1
tt0394582,tt0310455,1,2
tt0394615,tt0078622,3,21
tt0394619,tt0111999,5,15
tt0394620,tt0111999,5,16
tt0394906,tt0106145,4,1
tt0394933,tt0096708,5,10
tt0394935,tt0096708,5,1
tt0394937,tt0096708,3,11
tt0406516,tt0094525,9,3
tt0419132,tt0377260,2,0
tt0465569,tt0094525,10,1
tt0478226,tt0094525,10,2
tt0479977,tt0094525,10,3
tt0483459,tt0094525,1,1
tt0496246,tt0805661,1,1
tt0501950,tt0092312,1,1
tt0501954,tt0092312,4,14
tt0501956,tt0092312,2,5
tt0501958,tt0092312,4,18
tt0501959,tt0092312,5,13
tt0501962,tt0092312,1,7
tt0501967,tt0092312,3,17
tt0501968,tt0092312,1,8
tt0501970,tt0092312,2,18
tt0501972,tt0092312,5,3
tt0501985,tt0092312,5,11
tt0501986,tt0092312,4,3
tt0501989,tt0092312,2,12
tt0501993,tt0092312,1,6
tt0501996,tt0092312,3,16
tt0502004,tt0092312,5,15
tt0502009,tt0092312,3,20
tt0502011,tt0092312,1,12
tt0502014,tt0092312,3,14
tt0502016,tt0092312,3,18
tt0502019,tt0092312,2,16
tt0502021,tt0092312,4,11
tt0502022,tt0092312,5,4
tt0502028,tt0092312,5,22
tt0502029,tt0092312,4,22
tt0502030,tt0092312,3,2
tt0502034,tt0092312,3,7
tt0502038,tt0092312,1,5
tt0502039,tt0092312,4,12
tt0502040,tt0092312,5,7
tt0502045,tt0092312,5,19
tt0502047,tt0092312,4,10
tt0502049,tt0092312,3,11
tt0503572,tt0115083,8,18
tt0503574,tt0115083,5,18
tt0503580,tt0115083,8,8
tt0503581,tt0115083,5,5
tt0503582,tt0115083,7,4
tt0503583,tt0115083,2,21
tt0503584,tt0115083,1,16
tt0503585,tt0115083,2,6
tt0503590,tt0115083,5,7
tt0503591,tt0115083,5,21
tt0503593,tt0115083,8,6
tt0503595,tt0115083,1,17
tt0503597,tt0115083,6,10
tt0503598,tt0115083,5,17
tt0503599,tt0115083,3,3
tt0503602,tt0115083,7,20
tt0503606,tt0115083,2,1
tt0503610,tt0115083,1,18
tt0503613,tt0115083,9,14
tt0503619,tt0115083,5,8
tt0503620,tt0115083,10,12
tt0503622,tt0115083,1,6
tt0503624,tt0115083,8,14
tt0503626,tt0115083,10,6
tt0503627,tt0115083,3,10
tt0503629,tt0115083,7,17
tt0503630,tt0115083,8,20
tt0503631,tt0115083,6,21
tt0503632,tt0115083,6,22
tt0503640,tt0115083,2,9
tt0503642,tt0115083,2,3
tt0503643,tt0115083,6,16
tt0503645,tt0115083,8,4
tt0503648,tt0115083,3,15
tt0503650,tt0115083,2,16
tt0503651,tt0115083,1,19
tt0503654,tt0115083,3,7
tt0503665,tt0115083,6,17
tt0503667,tt0115083,8,23
tt0503670,tt0115083,5,3
tt0503671,tt0115083,6,9
tt0503672,tt0115083,7,9
tt0503674,tt0115083,4,21
tt0503677,tt0115083,8,13
tt0503681,tt0115083,7,1
tt0503682,tt0115083,7,2
tt0503683,tt0115083,2,18
tt0503684,tt0115083,1,4
tt0503686,tt0115083,3,11
tt0503690,tt0115083,8,3
tt0503696,tt0115083,6,7
tt0503707,tt0115083,4,16
tt0503709,tt0115083,1,9
tt0503711,tt0115083,1,14
tt0503714,tt0115083,3,17
tt0503715,tt0115083,9,3
tt0503717,tt0115083,7,16
tt0503718,tt0115083,2,13
tt0503720,tt0115083,5,10
tt0503725,tt0115083,9,17
tt0503728,tt0115083,7,19
tt0503729,tt0115083,8,16
tt0503730,tt0115083,9,2
tt0503733,tt0115083,9,13
tt0503735,tt0115083,8,5
tt0503737,tt0115083,6,20
tt0503744,tt0115083,4,1
tt0503747,tt0115083,3,21
tt0503748,tt0115083,3,22
tt0503753,tt0115083,10,9
tt0503758,tt0115083,9,5
tt0503760,tt0115083,7,18
tt0503762,tt0115083,1,8
tt0503763,tt0115083,8,11
tt0503764,tt0115083,4,13
tt0503765,tt0115083,2,4
tt0503766,tt0115083,4,10
tt0503770,tt0115083,4,14
tt0503773,tt0115083,4,3
tt0503786,tt0312081,3,12
