person_id,name,born,died
nm0617588,"Georges Méliès",1861,1938
nm0324073,"Nicolas Godin",1969,
nm4491570,"Octavio Vázquez",,
nm0701012,"Edna Purviance",1895,1958
nm0114253,"Mel Brown",,
nm0074788,"Henry Bergman",1868,1946
nm0934232,"Tom Wilson",1880,1965
nm0781623,"Sybil Seely",1900,1984
nm0731247,"Joe Roberts",1871,1923
nm0088471,"F. Blinn",1872,1941
nm0047800,"Beulah Bains",1905,1930
nm0005748,"Julius Jaenzon",1885,1961
nm0782943,"Concordia Selander",1861,1935
nm0917912,"Tor Weijden",1890,1931
nm0775659,"Greta Schröder",1892,1980
nm0444172,"Joe Keaton",1867,1946
nm0115669,"Clyde Bruckman",1894,1955
nm0245536,"Ruth Dwyer",1898,1978
nm0369841,"Jean C. Havez",1872,1925
nm0908753,"Lew Wallace",1827,1905
nm0003895,"Ramon Novarro",1899,1968
nm0629243,"Fred Niblo",1874,1948
nm0102643,"Charles Brabin",1882,1957
nm0006291,"Dmitri Shostakovich",1906,1975
nm0515104,"Boris Livanov",1904,1972
nm0493491,Layaschenko,,
nm0310980,"Janet Gaynor",1906,1984
nm0003638,"F.W. Murnau",1888,1931
nm0385012,"Katherine Hilliker",1885,1965
nm0129721,"H.H. Caldwell",1873,1939
nm0151606,"Lon Chaney",1883,1930
nm0449908,"Norman Kerry",1894,1956
nm0211346,"Nick De Ruiz",1871,1959
nm0776914,"Maurice Schutz",1866,1955
nm0773138,"Ole Schmidt",1928,2010
nm0868458,"Ernest Torrence",1878,1933
nm0002301,"Carl Davis",1936,
nm0361319,"Lars Hanson",1886,1965
nm0895048,"Dziga Vertov",1896,1954
nm0006219,"Michael Nyman",1944,
nm0000050,"Groucho Marx",1890,1977
nm0373511,"Victor Heerman",1893,1977
nm0442151,"George S. Kaufman",1889,1961
nm0198557,"Salvador Dalí",1904,1989
nm0151377,"Helen Chandler",1906,1965
nm0543115,"David Manners",1901,1998
nm0296859,"Dwight Frye",1899,1943
nm0394244,"Miriam Hopkins",1902,1972
nm0387556,"Rose Hobart",1906,2000
nm0372698,"Percy Heath",1884,1933
nm0829044,"Robert Louis Stevenson",1850,1894
nm0531269,"Charles MacArthur",1895,1956
nm0404885,"Leila Hyams",1905,1977
nm0090213,"Al Boasberg",1892,1937
nm0572851,"Norman Z. McLeod",1895,1964
nm0436095,"Bert Kalmar",1884,1947
nm0836181,"Charles J. Stumar",1890,1935
nm0701233,"Nina Wilcox Putnam",1888,1962
nm0335517,"Lawrence Grant",1870,1952
nm0000017,"Marlene Dietrich",1901,1992
nm0938923,"Anna May Wong",1905,1961
nm0299154,"Jules Furthman",1888,1966
nm0922170,"Julian West",1904,1981
nm0541675,"Rena Mandel",1911,
nm0494257,"Sheridan Le Fanu",1814,1873
nm0789049,"Henry Sharp",1892,1966
nm0790654,"Arthur Sheekman",1901,1978
nm0001647,"Claude Rains",1889,1967
nm0309567,"Harvey Gates",1889,1948
nm0202120,"Jean Dasté",1904,1994
nm0006144,"Maurice Jaubert",1900,1940
nm0442100,"Boris Kaufman",1906,1980
