title_id,type,primary_title,original_title,is_adult,premiered,ended,runtime_minutes,genres
tt0000417,short,"A Trip to the Moon","Le voyage dans la lune",0,1902,,13,"Action,Adventure,Comedy"
tt0009018,short,"A Dog's Life","A Dog's Life",0,1918,,33,"Comedy,Drama,Short"
tt0009611,movie,"Shoulder Arms","Shoulder Arms",0,1918,,45,"Comedy,War"
tt0011541,short,"One Week","One Week",0,1920,,25,"Comedy,Short"
tt0012349,movie,"The Kid","The Kid",0,1921,,68,"Comedy,Drama,Family"
tt0012364,movie,"The Phantom Carriage","Körkarlen",0,1921,,100,"Drama,Fantasy,Horror"
tt0013442,movie,Nosferatu,"Nosferatu, eine Symphonie des Grauens",0,1922,,94,"Fantasy,Horror"
tt0015324,movie,"Sherlock Jr.","Sherlock Jr.",0,1924,,45,"Action,Comedy,Romance"
tt0016332,movie,"Seven Chances","Seven Chances",0,1925,,56,"Comedy,Romance"
tt0016641,movie,"Ben-Hur: A Tale of the Christ","Ben-Hur: A Tale of the Christ",0,1925,,143,"Adventure,Drama,Romance"
tt0018037,movie,"The Jazz Singer","The Jazz Singer",0,1927,,88,"Drama,Music,Musical"
tt0018217,movie,"October (Ten Days that Shook the World)",Oktyabr,0,1927,,142,"Drama,History"
tt0018455,movie,Sunrise,"Sunrise: A Song of Two Humans",0,1927,,94,"Drama,Romance"
tt0018528,movie,"The Unknown","The Unknown",0,1927,,63,"Drama,Horror,Romance"
tt0019254,movie,"The Passion of Joan of Arc","La passion de Jeanne d'Arc",0,1928,,110,"Biography,Drama,History"
tt0019421,movie,"Steamboat Bill, Jr.","Steamboat Bill, Jr.",0,1928,,70,"Action,Comedy,Drama"
tt0019422,short,"Steamboat Willie","Steamboat Willie",0,1928,,8,"Animation,Comedy,Family"
tt0019585,movie,"The Wind","The Wind",0,1928,,95,"Drama,Romance,Western"
tt0019760,movie,"Man with a Movie Camera","Chelovek s kino-apparatom",0,1929,,68,"Documentary,Music"
tt0019777,movie,"The Cocoanuts","The Cocoanuts",0,1929,,96,"Comedy,Musical"
tt0020640,movie,"Animal Crackers","Animal Crackers",0,1930,,97,"Comedy,Musical"
tt0021577,movie,"L'Age d'Or","L'âge d'or",0,1930,,60,"Comedy,Drama"
tt0021814,movie,Dracula,Dracula,0,1931,,75,"Fantasy,Horror"
tt0022835,movie,"Dr. Jekyll and Mr. Hyde","Dr. Jekyll and Mr. Hyde",0,1931,,98,"Horror,Sci-Fi"
tt0022913,movie,Freaks,Freaks,0,1932,,64,"Drama,Horror"
tt0023027,movie,"Horse Feathers","Horse Feathers",0,1932,,68,"Comedy,Musical,Romance"
tt0023245,movie,"The Mummy","The Mummy",0,1932,,73,"Fantasy,Horror"
tt0023458,movie,"Shanghai Express","Shanghai Express",0,1932,,82,"Adventure,Drama,Romance"
tt0023649,movie,Vampyr,Vampyr,0,1932,,75,"Fantasy,Horror"
tt0023969,movie,"Duck Soup","Duck Soup",0,1933,,68,"Comedy,Musical,War"
tt0024184,movie,"The Invisible Man","The Invisible Man",0,1933,,71,"Horror,Sci-Fi"
tt0024481,movie,"Queen Christina","Queen Christina",0,1933,,99,"Biography,Drama,History"
tt0024803,short,"Zero for Conduct","Zéro de conduite: Jeunes diables au collège",0,1933,,44,"Comedy,Drama,Short"
tt0024844,movie,"L'Atalante","L'Atalante",0,1934,,89,"Comedy,Drama,Romance"
tt0024852,movie,"March of the Wooden Soldiers","Babes in Toyland",0,1934,,77,"Comedy,Family,Fantasy"
tt0025586,movie,"Of Human Bondage","Of Human Bondage",0,1934,,83,"Drama,Romance"
